שער החכמה,Wisdom
שער היחוד,The Unity
שער הענוה,Meekness
שער המחילה,Pardon
שער המתון,Deliberation
שער האמונה,Faith
שער הבטחון באלהים,Reliance on God
שער התקוה,Hope
שער הסבל,Patience
שער ההסתפקות,Contentedness
שער היאוש,Resignation
שער הבושת,Diffidence
שער הזריזות,Circumspection
שער הסלסול,Becoming Pride
שער עזיבת התאוה,Subduing of Passions
שער החסד,Charity and Kindness
שער ההכרה,Discrimination
שער המוסר,Moral Duties and Good Discipline
שער הנהגה,Conduct
שער החברים,Friendship
שער שאלת העצה,Consultation
שער תפיסת החבר,Reproof of Friends
שער בחינת החבורה,To Test a Friend
שער תוכחת האהבה,Admonition of Friendship
שער האהבה,Friendship
שער קבול ההתנצלות,The Acceptance of Apology
שער ישיבת החבורה,Social Intercourse
שער בחינת האוהבים,The Testing of Friendship
שער הסתרת הסוד,Keeping of Secrets
שער הצדק,Righteousness
שער הצניעות,Humility
שער השתיקה,Silence
שער יתרון מעלת הדברים הנכונים על השתיקה,Superiority of Speech over Silence
שער המלך,The King
שער האהבת האמת,Love of Truth
שער העושר,Riches
שער התפארות הכסילים ,Vain Glory of the Ignorant
שער מדות החמודות,Urbanity
שער בקור האוהבים,Visiting Friends
שער בקור החולים,Visiting the Sick
שער אבדת אוהב הנאמן ,Loss of a True Friend
שער הורות דרך ישרה,Directions in the Path of Rectitude
שער מצות החכם לבנו,Precepts of the Sage to His Son
שער פרישות מהעולם הזה ואהבת העולם הבא,Indifference to this World etc
שער החריצות ומעט הבטחון באלהים,Diligence without Reliance on God
שער הרש,Poverty
שער זולת השאלה,Humiliation of Soliciting Favours
שער הקנאה,Envy
שער החונף,The Dissembler
שער חברת רע הלב,Association with the Wicked
שער לשון הרע והרכילות,Detraction and Calumny
שער השכן הרע,The Bad Neighbour
שער השנאה,Animosity
שער הכסילות,Folly
שער הגאוה,Pride
שער האולת,Silliness
שער ההתפכות,Fickleness
שער כפירת הטובה,Ingratitude
שער הכבדות,Intrusiveness
שער העקשות,Pertinacity
שער הנצחון,Contest
שער הראוי לקלון,Just Contempt
שער הלצנות,Levity
שער המהירות,Overhastiness
