Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Exodus 32:11,Tanach with Ta'amei Hamikra,he,ויחל משה את־פני יהוה אלהיו ויאמר למה יהוה יחרה אפך בעמך אשר הוצאת מארץ מצרים בכח גדול וביד חזקה,hebmorph-standard,55.51246
1,--,Haamek Davar on Exodus 3:19:2,"Sefer Torat Elohim, Vilna 1879",he,"ולא ביד חזקה. אפילו כשתנסו עצמכם לצאת ביד חזקה ג״כ לא יניח בכח זרוע עוזו. ועי׳ להלן ה׳ ה׳:
",hebmorph-standard,54.69361
2,--,Deuteronomy 26:8,Tanach with Ta'amei Hamikra,he,ויוצאנו יהוה ממצרים ביד חזקה ובזרע נטויה ובמרא גדל ובאתות ובמפתים,hebmorph-standard,59.632908
3,--,Malbim on Ezekiel 20:34:2,On Your Way,he,ואוציא אתכם ביד חזקה מן העמים הסמוכים וגם ,hebmorph-standard,55.15628
4,--,Ezekiel 3:14,Tanach with Ta'amei Hamikra,he,ורוח נשאתני ותקחני ואלך מר בחמת רוחי ויד־יהוה עלי חזקה,aggresive-ngram,12.806135
5,--,Malbim on Ezekiel 20:34:4,On Your Way,he,"שנפזרתם שם בפיזור גדול, וזה היה ג''כ ביד חזקה וכו' :
",hebmorph-standard,55.15628
6,--,Rashi on Job 5:15:3,On Your Way,he,"ומיד חזק . יושיע אביון :
",hebmorph-standard,88.23068
7,--,Bava Batra 58b:5,Wikisource Talmud Bavli,he,סולם המצרי אין לו חזקה ולצורי יש לו חזקה,ngram,20.6349
8,--,Bava Batra 58b:4,Wikisource Talmud Bavli,he,מתני׳ המרזב אין לו חזקה ויש למקומו חזקה המזחילה יש לה חזקה,ngram,21.117498
9,--,"Kedushat Levi, Exodus, Beshalach 14",Kedushat Levi translated by Rb. Eliyahu Munk,en," would not release the ‎Israelites until He would intervene with ‎יד חזקה‎, “a ‎strong hand.” In light of our exegesis there is no ‎problem with these verses. G’d performed a great act ‎of loving",original,5.1158404
10,--,Shadal on Exodus 6:1:1,"Shadal first edition, Padua 1871",he,כי ביד חזקה ישלחם: מפני ידי החזקה שתחזק עליו ישלחם.,hebmorph-standard,77.98564
11,--,Ibn Ezra on Exodus 13:3:2,On Your Way,he,וטעם מבית עבדים. שהיו מעבידים אותם כאלו היו עבדיהם ובמקום אחר אמר מכור הברזל. כי המצרים חזקו עליהם והשם הוציאם בחוזק יד מהחזקים,aggresive-ngram,37.948887
12,--,Rashi on Song of Songs 8:7:4,On Your Way,he,לא ישטפוה . על ידי חוזק ואימה ואף על ידי פתוי והסתה : ,aggresive-ngram,35.671978
13,--,Malbim Beur Hamilot on Isaiah 8:11:1,On Your Way,he,בחזקת היד.  כמו ויד ה' עלי חזקה : ,hebmorph-standard,27.486471
14,--,Exodus 4:4,Tanach with Text Only,he,ויאמר יהוה אל־משה שלח ידך ואחז בזנבו וישלח ידו ויחזק בו ויהי למטה בכפו,aggresive-ngram,37.734276
15,--,Jeremiah 31:11,Tanach with Nikkud,he,כי־פדה יהוה את־יעקב וגאלו מיד חזק ממנו,hebmorph-standard,55.248894
16,--,"Abarbanel on Torah, Deuteronomy 4:25:5","Torah Commentary of Yitzchak Abarbanel, Warsaw 1862",he,. כנגד הדבר שנקרא יד ה'. וכן החשך שהיתה יד חזקה עליה'. ואמר ובזרוע נטויה כנגד מכת בכורות ומוראים גדולים כנגד נסי הים. ועל הכל אמר ככל אשר עשה לכם ה' אלהיכם במצרים לעיניך. ורצה לומר ככל אשר עשה בעבורכם,original,2.5806804
17,--,"Meshech Hochma, Shemot 21","Riga, 1927",he," לא יסכים ברצונו המוחלט ולא ע""י ידי יד חזקה שאף אם יכוהו ביד חזקה ויכפוהו ג""כ לא יתן להלוך ברצונו רק בעל כרחו דזה אינו נתינה ברצון ודוק.
",original,7.382871
18,--,"Sefat Emet, Leviticus, Passover 10:12","Sefat emet, Piotrków, 1905-1908",he," כמו כן יד חזקה דהכא מתפרש כן והבן] לכן נק' לחם עוני מיכלא דמהימנותא פי' שאין משיגין עדיין טובות הבורא רק להיות נמשך אחריו גם בלי טעם בדרך אמונה. ואח""כ מתחיל ימי הספירה שהוא לברר הגאולה ולהשיג הטובה",original,0.6322847
19,--,Metzudat Zion on Psalms 139:6:2,On Your Way,he,נשגבה. חזקה: ,ngram,23.44493
20,--,Metzudat David on Ezekiel 37:1:1,On Your Way,he,יד ה׳. כח חוזק הנבואה: ,aggresive-ngram,13.039588
21,--,Ibn Ezra on Deuteronomy 34:12:1,On Your Way,he,היד החזקה. פליאות הים,hebmorph-standard,88.23068
22,--,Malbim on Proverbs 29:2:12,Malbim on Proverbs--Wikisource,he,"* אינו מושל, שהממשלה היא ביד חזקה,
",hebmorph-standard,66.18753
23,--,Malbim on Proverbs 29:2:15,Malbim on Proverbs--Wikisource,he,"* מושל ביד חזקה,
",hebmorph-standard,87.96135
24,--,Rashi on Isaiah 41:9:1,On Your Way,he,אשר החזקתיך . לקחתיך לחלקי כמו ( שמות ד ) וישלח ידו ויחזק בו : ,aggresive-ngram,35.743202
